	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	6.252338694152832	6.2859836700439455	1.04	1.036
1	4.775840080871582	4.79257512512207	2.26	2.446
2	4.499618629455567	4.5011439018249515	3.29	3.372
3	4.3409378350830075	4.347974062347412	4.38	4.646
4	4.252376236114502	4.266773455047607	5.36	5.548
5	4.261739201202393	4.285843677520752	6.3	6.504
6	4.150712885589599	4.1691534729003905	6.82	7.232
7	4.110679877777099	4.125779106140136	7.29	7.228
8	4.025491122436524	4.034252257537842	8.63	9.314
9	3.918915847167969	3.941365881729126	8.65	9.43
10	3.946238389968872	3.9626556659698484	9.1	9.316
11	3.75289384223938	3.7736649742126467	10.71	11.426
12	3.9292406491088867	3.9523019119262695	10.38	10.594
13	3.8407455707550047	3.8773620788574217	11.56	12.072
14	3.926331999435425	3.953896188735962	10.6	10.688
15	3.6399243786621094	3.664976352310181	14.45	14.618
16	3.867477444000244	3.8943845527648926	11.16	11.77
17	3.750985776901245	3.774337871932983	13.21	12.782
18	3.9265482946777346	3.953531665802002	11.85	12.054
19	3.5339295881652832	3.5664875312805178	16.81	16.482
20	3.802063159866333	3.851469007110596	15.23	14.938
21	3.5327604600524904	3.557331818008423	16.86	17.078
22	3.671187706298828	3.7212196926116943	15.46	15.756
23	3.6226158179473877	3.6526336528778076	16.21	16.432
24	3.4311258331298826	3.470633436203003	18.99	19.502
25	3.2915477384948733	3.332946681213379	20.98	21.112
26	3.452717497024536	3.495089788818359	18.5	18.938
27	3.4843839872741698	3.5164591396331786	19.09	19.426
28	3.5214075147247312	3.554676242828369	19.03	19.748
29	3.384835179977417	3.430579124069214	21.18	21.904
30	3.748050449142456	3.7934091800689695	18.13	18.724
31	3.2224286138916014	3.2725341327667237	22.84	23.26
32	3.4414341038513183	3.4908131427764895	21.44	21.768
33	3.3697808423614504	3.4208792491912843	22.61	22.93
34	3.212843663787842	3.263886767578125	23.89	25.096
35	3.1498150526428224	3.1933574882507325	23.21	23.636
36	3.4517012554168702	3.5191708057403566	22.4	23.468
37	3.1786663829803468	3.238182912826538	25.51	25.984
38	3.1103151049041746	3.1571966651916505	26.27	26.566
39	3.120397882232666	3.181749508666992	25.37	26.538
40	3.240298324432373	3.32591335105896	24.69	25.046
41	3.1143787385559083	3.1753379470825194	26.94	27.224
42	2.8671675313568117	2.946725250244141	28.88	30.036
43	3.1955407666778566	3.272021720504761	26.58	27.956
44	3.197176564254761	3.286076971054077	25.43	26.668
45	3.046832541351318	3.1082215297698976	26.55	27.554
46	2.998242287597656	3.0708243579864503	27.91	28.98
47	2.94497159286499	3.027481092834473	29.26	30.232
48	2.9774141105651855	3.0625229804992675	27.74	29.312
49	2.8219738806152344	2.9119836349487302	30.99	32.388
50	2.873673566131592	2.9454480472564697	30.29	31.41
51	2.9226301179504395	3.0096905235290525	29.33	30.996
52	2.906080679321289	2.998338245391846	30.65	32.092
53	2.701012159576416	2.785674359893799	32.09	33.534
54	2.912899645690918	2.9870180820465086	29.43	30.192
55	2.61538393661499	2.6823211139678955	32.76	34.168
56	2.7226846253967287	2.8176721214294433	33.51	34.308
57	3.026567953491211	3.1222444038391113	29.46	30.524
58	2.708573448791504	2.7638115642547607	32.03	33.328
59	2.749079855041504	2.837507940673828	33.93	35.458
60	2.7799574892425536	2.8636242416381834	32.34	33.982
61	3.0450543283843996	3.132729485321045	30.1	31.13
62	2.5443686323547365	2.6312231069564818	34.53	36.566
63	2.856171358718872	2.9554053188323977	32.93	34.378
64	2.7062011228942873	2.8212625762939454	32.43	34.392
65	2.5462058248138426	2.6663568977355956	36.76	38.27
66	2.5698282287597656	2.686664210128784	35.45	36.84
67	2.6645830564880373	2.7635938747406006	35.33	36.222
68	2.5702841916656496	2.6697833145141603	35.42	36.874
69	2.695756591644287	2.8259034015655518	34.75	36.614
70	2.622903430557251	2.7304252170562746	36.33	38.122
71	2.4196503752899168	2.520248612213135	38.16	39.406
72	2.49366061668396	2.5899257205963133	35.51	36.942
73	2.572248535995483	2.7149541608810424	36.45	38.234
74	3.195508115386963	3.323820467376709	29.47	31.232
