	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	6.246042182006836	6.279782420349121	1.05	1.04
1	4.817760106964111	4.842341777038574	2.16	2.364
2	4.479887839813232	4.486581048583984	3.29	3.514
3	4.363009959259033	4.376408363342285	4.07	4.384
4	4.318842980041504	4.332242108917236	4.83	5.312
5	4.239806056365967	4.249625762176514	5.5	5.552
6	4.199722511291504	4.195395418548584	6.07	6.166
7	4.237719930114746	4.253764721679688	6.5	6.36
8	4.06941527557373	4.080035942840576	7.6	8.152
9	3.967317405090332	3.9805524360656737	8.46	8.754
10	4.131460174560547	4.141540925598145	7.74	7.764
11	3.9870035427856445	3.9975359802246095	9.05	9.104
12	3.761198463058472	3.7786246673583985	11.39	11.786
13	3.8252540265655517	3.8437627761840822	11.3	11.714
14	3.83397654586792	3.8728159355163574	11.02	11.428
15	3.919080657043457	3.9512552001953125	10.15	10.772
16	3.924430431213379	3.948947306442261	10.93	11.47
17	3.8292856370544435	3.8557454303741454	12.73	13.098
18	3.8019655043029785	3.836950569534302	12.95	13.052
19	3.6428311854553224	3.6635543502807617	13.77	14.31
20	3.692788103103638	3.71612511177063	15.72	15.258
21	3.841529556274414	3.872492432022095	14.41	14.482
22	3.4909805461883545	3.516820324707031	17.31	17.676
23	3.5350412348937987	3.5689193630218505	16.77	17.434
24	3.371025197753906	3.398996133041382	18.85	19.894
25	3.6532878186798095	3.6695049697875977	17.67	18.052
26	3.4183404570007325	3.4562691631317137	18.35	19.272
27	3.452554338226318	3.4740349895477296	19.15	19.716
28	3.576782787399292	3.653268212890625	19.61	19.94
29	3.440080266265869	3.4931222869873046	19.42	19.834
30	3.5034524821472166	3.525478133392334	19.05	19.366
31	3.4388614336395262	3.486467782974243	20.99	21.494
32	3.1928610541534423	3.240250616073608	23.33	23.79
33	3.2507582569122313	3.3078422119140627	23.54	24.36
34	3.2745475538635254	3.3174344299316405	23.66	24.29
35	3.3900474615478515	3.4617154998779296	23.18	23.816
36	3.295064701385498	3.3544065227508546	23.63	24.282
37	3.0310557466888426	3.0780743896484375	26.45	26.54
38	3.12225533493042	3.179956760406494	24.7	25.118
39	3.3509005450439453	3.410250634765625	22.56	23.208
40	2.938595907287598	2.981993927383423	28.11	28.394
41	2.9069860691833496	2.946546268463135	28.02	29.024
42	3.183968946533203	3.231782912063599	26.47	26.862
43	3.074239537887573	3.12750830078125	26.98	28.012
44	2.9165362378692627	2.9740546756744384	28.6	29.46
45	2.930206454696655	3.000812343597412	29.15	29.91
46	3.1062414282989503	3.162234621810913	28.21	28.754
47	3.0919902906799317	3.1746805019378663	26.76	28.316
48	2.8393293395996095	2.911408179855347	30.22	31.13
