	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	3.115380127029419	3.1159864959716796	9.87	9.906
1	4.021218935546875	4.039067844390869	19.94	19.282
2	2.2228067509460447	2.2182910110473633	15.76	15.572
3	1.9499470108032226	1.945517530632019	24.66	24.696
4	1.7358789798355103	1.7286734325408935	35.02	34.504
5	1.8296109030151366	1.820597405433655	32.28	31.756
6	1.7684058560180664	1.759858342552185	37.43	37.44
7	1.7832996041107179	1.7664232151031494	37.08	36.354
8	1.741912868423462	1.7329810836791992	38.43	38.6
9	1.6948794128417968	1.6914334743499755	39.85	39.778
10	2.292250350189209	2.300697427749634	31.34	30.768
11	1.9855487715148925	1.981156591796875	34.39	34.074
12	1.6695909719085693	1.6543201313018798	41.0	40.466
13	1.5794466073989868	1.5709655221939087	44.54	44.23
14	1.60565311920166	1.6074413312911988	46.58	47.016
15	1.6501752411651611	1.6585694149017334	43.68	44.33
16	2.255181895599365	2.2550627239227294	36.98	36.566
17	2.3406639259338378	2.3249455581665037	25.95	25.356
18	1.8055846713638306	1.8010624963760375	36.23	35.55
19	1.7059688100814818	1.7116608741760253	39.62	39.574
20	1.6030338683700562	1.6073143630981446	44.31	44.912
21	1.8600450488662719	1.8619268180847168	41.73	41.914
22	1.7951142016601562	1.7973113456726075	41.92	42.344
23	1.3737864588165283	1.4017772169113158	53.59	53.972
24	1.6305809102630615	1.6396994106292724	45.93	46.36
25	1.4821961877059937	1.4870315341949463	47.16	46.634
26	1.2805344942855834	1.286164140701294	53.38	54.19
27	1.2402487799072266	1.2559744705200195	56.74	57.302
28	1.1359045519256592	1.1509839757919311	59.66	60.12
29	1.2484236224365235	1.2730998725891114	56.58	57.714
30	1.1142060250473023	1.146965556716919	60.34	61.016
31	1.1130813174057006	1.133788488960266	60.3	61.118
32	1.381736688156128	1.389167419052124	53.4	53.89
33	1.2147021962738036	1.231896208381653	57.67	58.7
34	1.2994699515533448	1.322481756210327	56.76	57.366
35	1.1171195028686522	1.1465621223449707	60.92	61.76
36	1.064266413154602	1.100589835357666	62.21	63.31
37	1.1559643222808837	1.1848638790130614	60.65	61.436
38	1.1631201568984986	1.1813755311965943	60.86	61.286
39	1.543551307182312	1.5758079557418823	53.51	53.976
40	3.513724493484497	3.5409504875183107	32.74	33.242
41	3.1871740295410156	3.1752425521850585	21.72	21.384
42	1.2176465461349488	1.229377374649048	57.18	57.842
43	1.2314758535003663	1.2529688903808593	57.89	58.254
44	1.0484249140548707	1.0654149559020996	63.06	63.34
45	1.0377492532348633	1.0497193714141846	64.02	64.422
46	1.0513725238418579	1.0646310146331788	63.47	63.608
47	1.0839100472259522	1.1119820358276367	62.88	64.024
48	0.9807907698440552	1.0055484689712524	66.16	66.804
49	0.9162870455932617	0.9453400789260864	67.25	68.094
50	0.9831445162200928	1.0120377356529235	65.61	66.834
51	1.8316765237808228	1.9093457929611206	50.86	52.016
52	2.0919268115997314	2.1049115531921387	39.21	39.666
53	1.3087643068695067	1.3438458209991455	57.42	58.734
54	1.022958651046753	1.0556529959678649	63.63	64.75
55	1.053148454723358	1.0710994676589967	63.25	64.144
56	0.9506911732292175	0.9727355388641358	66.62	67.276
57	1.0208893872833251	1.0531329526901245	63.7	64.604
58	0.9330378483772278	0.9605306295394898	67.94	68.89
59	1.006989276046753	1.0433595757484435	65.61	66.518
60	0.9124967445755005	0.9419422496795654	68.06	69.362
61	0.902252913570404	0.9327803388595581	69.29	69.946
62	1.0896136643981933	1.1443300003051757	62.8	63.842
63	0.8431655087280273	0.8832820304870606	69.96	71.378
64	0.9307628554916382	0.9712438209533691	67.68	68.602
65	0.8462986176872254	0.8799902778625488	70.9	71.794
66	0.8557306908798218	0.8906011682510376	70.41	71.274
67	0.8417182334899902	0.8860993318557739	70.49	71.764
68	2.4359548985290527	2.415568355178833	39.94	39.388
69	1.0991055432891845	1.1267203994750976	64.57	65.032
70	0.9280319344711304	0.953668914604187	67.84	68.8
71	0.7890533823776245	0.8341961614608765	71.43	72.906
72	0.7546558320808411	0.7918754086494446	72.63	74.234
73	0.7867211531448364	0.8315792428970337	71.93	73.476
74	0.8047857057952881	0.8447180109977722	71.55	72.606
75	0.9616256924057007	1.0079839658737182	67.38	68.508
76	0.8707856179428101	0.8959163623809815	70.18	71.264
77	0.9017796681022644	0.9518060995101929	70.3	71.764
78	0.7183177350234985	0.7505170924186707	74.8	75.344
79	0.6772137862014771	0.7219541487693787	75.53	76.844
80	1.1026757603454589	1.1649895946502686	66.92	68.406
81	1.2872134457397462	1.2979105070114136	53.1	53.788
82	1.032427852859497	1.0644970727920533	64.19	65.354
83	0.7907076197242737	0.8300523525238037	71.55	72.718
84	0.7218684285926819	0.766001277923584	73.72	74.996
85	0.8549832827949524	0.8913865800857544	70.92	71.466
86	0.7630187621688843	0.8010707252502441	72.45	73.928
87	0.7929708128356934	0.8287060419082641	72.32	72.892
88	0.80087904712677	0.8499885057449341	71.67	72.838
89	2.309271243286133	2.3560713817596435	48.15	48.406
90	2.4258808972930908	2.395078953933716	23.23	22.924
91	1.6922684232330323	1.6885714122772217	39.02	38.992
92	1.513437611618042	1.512757183265686	44.16	44.18
93	1.351523791885376	1.353826272583008	51.85	51.566
94	1.4147697357177735	1.4284471153259277	49.86	50.362
95	1.1848265824127198	1.1985330738067628	56.99	57.686
96	1.123300853614807	1.142693478012085	59.07	59.78
97	1.4168144345855713	1.4383474714279174	54.75	54.668
98	1.2373210639953613	1.2562987241744996	59.89	60.202
99	1.0436572582626342	1.0624876266479493	63.37	64.204
100	0.9775284887313843	1.0022077633857727	65.51	66.534
101	1.091061152572632	1.1151870286941528	62.94	64.148
102	0.9657802842903137	0.9820292516708374	65.92	66.694
103	0.8930429211044312	0.9143303176879883	68.89	69.516
104	0.9339033604049682	0.9547805295944214	67.97	68.374
105	0.7990601730918885	0.8238740795135499	70.78	72.068
106	0.8654247403335571	0.8993922420501709	69.67	70.556
107	1.296838514328003	1.3093471586227416	59.97	60.674
108	1.2187056914520265	1.254065396308899	60.99	62.156
109	0.9824641386795044	1.0060912959098816	65.71	66.918
110	0.805819059715271	0.8306729449272156	71.69	72.408
111	0.7777304091262818	0.8012066576004029	72.61	73.332
112	0.7493134606170654	0.7781639492988587	73.23	74.526
113	0.7250117674636841	0.7550621747016907	74.06	74.96
114	0.8970015388870239	0.9258255487442016	70.3	70.978
115	0.7693848419570923	0.8021656759262085	72.92	73.904
116	0.7309080275344849	0.7701554927825928	74.16	75.124
117	0.8158807019042968	0.8476785366058349	70.93	72.112
118	0.7849482107925415	0.812895942401886	72.45	73.238
119	0.7349471454048156	0.7697908543586731	74.16	74.984
120	0.7107317795753479	0.7508086103439331	74.87	75.78
121	0.6171314501571655	0.658257593345642	77.78	78.782
122	0.6010579014587403	0.6412296612739563	78.14	79.292
123	0.5999237034606933	0.643200463104248	78.3	79.316
124	0.5924651274681091	0.6337073573112488	78.55	79.51
125	0.5913982567691803	0.6351553768157959	78.76	79.542
126	0.5893062924003601	0.6315546566009521	78.74	79.662
127	0.5902809076881409	0.6352788552284241	78.73	79.83
128	0.5796268692207336	0.6248035641670227	79.1	79.968
129	0.57750457862854	0.6203488043785095	79.0	80.068
130	0.5743348971652985	0.6175117964744568	79.04	80.168
131	0.5735319897651673	0.6180262016296387	79.05	80.152
132	0.5759321681976318	0.6193322395324707	79.21	80.202
133	0.5755387592697143	0.621084686088562	79.0	80.19
134	0.5713474181938172	0.6160684087753295	79.29	80.196
135	0.5657811646461487	0.6123351731300354	79.41	80.428
136	0.5655099937343597	0.6126316257476807	79.29	80.464
137	0.5669870088195801	0.6151459209442138	79.43	80.526
138	0.5684212943363189	0.6169554509162903	79.14	80.346
139	0.5631681065940857	0.6121777381896972	79.52	80.542
140	0.5609348592185974	0.6114626086235047	79.4	80.642
141	0.5590287166404724	0.6079128094673156	79.54	80.612
142	0.5517085367774963	0.6018163969039917	79.61	80.88
143	0.5608704230594636	0.6117576755523682	79.44	80.612
144	0.555564247045517	0.6080074332237244	79.31	80.83
145	0.5577037763214111	0.6098464462280273	79.63	80.89
146	0.5585062186336517	0.6116031461715699	79.36	80.72
147	0.5491534198856354	0.6055756689071655	79.61	81.084
148	0.5474726808261872	0.6040055103302002	79.47	81.058
149	0.5463719762229919	0.6033406615257263	79.87	81.184
150	0.5548014117336273	0.6097638020515442	79.38	80.868
151	0.5438008226680756	0.6027057904243469	79.75	81.312
152	0.5470037578678131	0.6037793181419373	79.79	81.21
153	0.5415906302070618	0.599454976940155	79.64	81.31
154	0.5397336550235748	0.5960521531105042	80.03	81.36
155	0.5418619754123688	0.5969995676040649	80.25	81.352
