	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	3.715805053253174	3.7273954345703126	10.67	10.788
1	3.557597555999756	3.438750174713135	19.83	19.134
2	2.1620801873016355	2.1541991359710693	24.14	23.446
3	1.9202139870834352	1.9025166870117187	28.05	28.014
4	1.920400659828186	1.9059504642486573	31.45	30.984
5	1.7626215602874755	1.752976914024353	36.57	35.358
6	1.9149000952148438	1.9094761129379272	30.68	30.528
7	1.939384158935547	1.9179561292648315	35.03	34.516
8	1.6892894091033936	1.6818811401367189	37.79	37.566
9	1.7338024419784546	1.7157435564041137	38.59	38.14
10	1.6043591860198974	1.5990525033950806	41.86	41.678
11	1.7241684338760377	1.712875309753418	37.14	37.222
12	1.5055964799118042	1.5039984817504883	45.65	45.608
13	1.4796757611083984	1.4779490135192872	48.04	48.006
14	1.5404393035507202	1.559918607902527	42.89	43.638
15	1.590964422264099	1.5759462608337402	45.93	45.75
16	1.8923526963806152	1.9074908203125	37.84	38.39
17	1.5593175457000732	1.5703041486740112	42.89	43.196
18	1.4502828615951537	1.4622964624404908	47.55	48.398
19	1.3734259294891358	1.3805127241134643	50.74	51.428
20	1.3323941186523438	1.3375886539459227	53.11	53.266
21	1.3149857326507568	1.3224196088790894	51.87	52.536
22	1.3242625927352905	1.337453275871277	53.24	53.698
23	1.2667487937927246	1.2843026985168458	54.49	55.424
24	1.5006653127670289	1.5339608880996705	50.69	52.184
25	1.756938917388916	1.7755720436096192	49.8	49.894
26	1.3893378061676025	1.403442384338379	52.42	52.462
27	1.1740905046844483	1.1914541124343871	58.45	58.916
28	1.0906301727294923	1.1100735904693604	61.73	62.112
29	1.2901271222686768	1.3207414506912232	55.99	56.54
30	1.306372783088684	1.3227006196975708	55.15	55.544
31	1.1492453830718994	1.1699982488632201	60.39	61.168
32	1.1881261410522461	1.2277000880241393	58.94	59.996
33	1.2267260158538817	1.253738598060608	60.31	61.112
34	1.2476631731796264	1.2713920196533204	60.97	60.916
35	1.8487571113586425	1.8742359369277954	47.92	48.85
36	2.3132388927459715	2.332441165161133	42.55	42.634
37	1.1378039359664918	1.1485923034667969	61.81	62.326
38	1.1074608643341064	1.1367652916908264	62.06	62.742
39	1.0160705614852905	1.0290318250656127	64.61	65.096
40	1.2505928446960448	1.2618044761657714	57.93	58.194
41	0.9764462777328491	0.9892008535385132	65.92	66.538
42	1.0423918454742431	1.0656118698120116	65.4	66.212
43	0.9376365714263916	0.9466367401123047	68.21	69.042
44	0.9390188153839112	0.9599653557777404	67.18	67.896
45	0.8730944941711426	0.9202936298370361	70.07	71.27
46	0.8315608208084107	0.8577116228103637	70.28	71.774
47	1.0014031507492065	1.0353349325180055	67.22	67.77
48	0.9953409101867676	1.0333509148597717	66.41	68.05
49	0.8600954165840149	0.8974332418441773	70.29	71.376
50	0.9362910290527344	0.964831616306305	68.76	69.688
51	1.448771505508423	1.4942718189239501	55.81	56.684
52	0.8846105134582519	0.9063193796157837	69.04	69.866
53	1.227786067276001	1.2548580675125123	59.97	60.536
54	0.7563313089370728	0.7950534212112427	72.75	73.812
55	0.8940221159744263	0.934488809967041	68.76	69.964
56	0.9492699752044678	0.9711477633476258	68.03	69.016
