	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	4.244539100646973	4.2254423309326175	9.98	9.984
1	2.507739711608887	2.512082648086548	21.25	20.826
2	1.98855191116333	1.9860583562850953	25.12	25.548
3	1.7719875387573243	1.7579565324783326	33.37	33.134
4	1.997658529510498	1.9834906017303466	28.77	28.738
5	1.837047329788208	1.8377504426956177	34.51	34.398
6	2.368470131225586	2.3860008365631105	31.22	31.208
7	2.876203134765625	2.8569939849853516	25.81	26.048
8	1.7861934504699708	1.785378189277649	32.49	33.02
9	1.5627867034912108	1.5641526678085327	43.56	44.098
10	1.7506065143585205	1.7571328260421752	38.12	38.788
11	1.9245187186050414	1.9220271183013915	42.26	42.034
12	1.6639047317504883	1.6582947248458861	43.07	43.04
13	1.6788659970855713	1.6927484495162963	45.68	45.974
14	1.8525743375015258	1.852663119506836	41.38	41.686
15	1.6390627698135376	1.6572388528823851	42.74	43.588
16	1.5314053034973145	1.5244197931289674	50.29	50.392
17	1.4728735473251342	1.4966596073150635	46.3	47.594
18	1.46819365070343	1.488845713043213	50.23	50.666
19	1.3856039849853516	1.3965268104553223	51.05	51.654
20	2.411961868133545	2.393686245727539	39.29	38.882
21	1.4140036852264404	1.4432643579483033	52.82	53.532
22	1.2749075882720948	1.2846471000671387	54.22	54.828
23	1.2011143682098389	1.2141520374298096	57.15	57.58
24	1.1237655861663818	1.1276276426315308	61.28	61.442
25	1.401716271095276	1.4262119668960571	55.05	55.618
26	1.1903691038513184	1.2156191688537599	58.89	59.456
27	1.1222038647460937	1.146501423072815	59.68	60.594
28	1.1559438138961793	1.1727781261444092	60.16	60.442
29	1.0188800436782837	1.041596148300171	64.02	64.418
30	0.9852773341178894	1.0175307167053222	64.9	65.846
31	0.9858442189216614	1.0183439380645751	64.51	65.768
32	1.2475663150787353	1.2878610790252685	58.59	59.45
33	1.1713878377532958	1.2127770845413208	61.32	62.576
34	1.0457117751312255	1.0714062465667724	63.73	64.62
35	1.0377670625686646	1.0742391376495362	63.51	65.16
36	0.9516638953018188	0.9827932432174683	66.67	67.432
37	1.1559873043441773	1.1784271402359008	62.32	63.12
